year_month_week,year,month,day,year_month,week
1536101,1536,10,4,153610,1
1536102,1536,10,11,153610,2
1536103,1536,10,18,153610,3
1536104,1536,10,25,153610,4
1536111,1536,11,1,153611,1
1536112,1536,11,8,153611,2
1536113,1536,11,15,153611,3
1536114,1536,11,22,153611,4
1536115,1536,11,29,153611,5
1536121,1536,12,6,153612,1
1536122,1536,12,13,153612,2
1536123,1536,12,20,153612,3
1536124,1536,12,27,153612,4
1537011,1537,1,3,153701,1
1537012,1537,1,10,153701,2
1537013,1537,1,17,153701,3
1537014,1537,1,24,153701,4
1537015,1537,1,31,153701,5
1537021,1537,2,7,153702,1
1537022,1537,2,14,153702,2
1537023,1537,2,21,153702,3
1537024,1537,2,28,153702,4
1537031,1537,3,7,153703,1
1537032,1537,3,14,153703,2
1537033,1537,3,21,153703,3
1537034,1537,3,28,153703,4
1537041,1537,4,4,153704,1
1537042,1537,4,11,153704,2
1537043,1537,4,18,153704,3
1537044,1537,4,25,153704,4
1537051,1537,5,2,153705,1
1537052,1537,5,9,153705,2
1537053,1537,5,16,153705,3
1537054,1537,5,23,153705,4
1537055,1537,5,30,153705,5
1537061,1537,6,6,153706,1
1537062,1537,6,13,153706,2
1537063,1537,6,20,153706,3
1537064,1537,6,27,153706,4
1537071,1537,7,4,153707,1
1537072,1537,7,11,153707,2
1537073,1537,7,18,153707,3
1537074,1537,7,25,153707,4
1537081,1537,8,1,153708,1
1537082,1537,8,8,153708,2
1537083,1537,8,15,153708,3
1537084,1537,8,22,153708,4
1537085,1537,8,29,153708,5
1537091,1537,9,5,153709,1
1537092,1537,9,12,153709,2
1537093,1537,9,19,153709,3
1537094,1537,9,26,153709,4
1537101,1537,10,3,153710,1
1537102,1537,10,10,153710,2
1537103,1537,10,17,153710,3
1537104,1537,10,24,153710,4
1537105,1537,10,31,153710,5
1537111,1537,11,7,153711,1
1537112,1537,11,14,153711,2
1537113,1537,11,21,153711,3
1537114,1537,11,28,153711,4
1537121,1537,12,5,153712,1
1537122,1537,12,12,153712,2
1537123,1537,12,19,153712,3
1537124,1537,12,26,153712,4
1538011,1538,1,2,153801,1
1538012,1538,1,9,153801,2
1538013,1538,1,16,153801,3
1538014,1538,1,23,153801,4
1538015,1538,1,30,153801,5
1538021,1538,2,6,153802,1
1538022,1538,2,13,153802,2
1538023,1538,2,20,153802,3
1538024,1538,2,27,153802,4
1538031,1538,3,6,153803,1
1538032,1538,3,13,153803,2
1538033,1538,3,20,153803,3
1538034,1538,3,27,153803,4
1538041,1538,4,3,153804,1
1538042,1538,4,10,153804,2
1538043,1538,4,17,153804,3
1538044,1538,4,24,153804,4
1538051,1538,5,1,153805,1
1538052,1538,5,8,153805,2
1538053,1538,5,15,153805,3
1538054,1538,5,22,153805,4
1538055,1538,5,29,153805,5
1538061,1538,6,5,153806,1
1538062,1538,6,12,153806,2
1538063,1538,6,19,153806,3
1538064,1538,6,26,153806,4
1538071,1538,7,3,153807,1
1538072,1538,7,10,153807,2
1538073,1538,7,17,153807,3
1538074,1538,7,24,153807,4
1538075,1538,7,31,153807,5
1538081,1538,8,7,153808,1
1538082,1538,8,14,153808,2
1538083,1538,8,21,153808,3
1538084,1538,8,28,153808,4
1538091,1538,9,4,153809,1
1538092,1538,9,11,153809,2
1538093,1538,9,18,153809,3
1538094,1538,9,25,153809,4
1538101,1538,10,2,153810,1
1538102,1538,10,9,153810,2
1538103,1538,10,16,153810,3
1538104,1538,10,23,153810,4
1538105,1538,10,30,153810,5
1538111,1538,11,6,153811,1
1538112,1538,11,13,153811,2
1538113,1538,11,20,153811,3
1538114,1538,11,27,153811,4
1538121,1538,12,4,153812,1
1538122,1538,12,11,153812,2
1538123,1538,12,18,153812,3
1538124,1538,12,25,153812,4
1539011,1539,1,1,153901,1
1539012,1539,1,8,153901,2
1539013,1539,1,15,153901,3
1539014,1539,1,22,153901,4
1539015,1539,1,29,153901,5
1539021,1539,2,5,153902,1
1539022,1539,2,12,153902,2
1539023,1539,2,19,153902,3
1539024,1539,2,26,153902,4
1539031,1539,3,5,153903,1
1539032,1539,3,12,153903,2
1539033,1539,3,19,153903,3
1539034,1539,3,26,153903,4
1539041,1539,4,2,153904,1
1539042,1539,4,9,153904,2
1539043,1539,4,16,153904,3
1539044,1539,4,23,153904,4
1539045,1539,4,30,153904,5
1539051,1539,5,7,153905,1
1539052,1539,5,14,153905,2
1539053,1539,5,21,153905,3
1539054,1539,5,28,153905,4
1539061,1539,6,4,153906,1
1539062,1539,6,11,153906,2
1539063,1539,6,18,153906,3
1539064,1539,6,25,153906,4
1539071,1539,7,2,153907,1
1539072,1539,7,9,153907,2
1539073,1539,7,16,153907,3
1539074,1539,7,23,153907,4
1539075,1539,7,30,153907,5
1539081,1539,8,6,153908,1
1539082,1539,8,13,153908,2
1539083,1539,8,20,153908,3
1539084,1539,8,27,153908,4
1539091,1539,9,3,153909,1
1539092,1539,9,10,153909,2
1539093,1539,9,17,153909,3
1539094,1539,9,24,153909,4
1539101,1539,10,1,153910,1
1539102,1539,10,8,153910,2
1539103,1539,10,15,153910,3
1539104,1539,10,22,153910,4
1539105,1539,10,29,153910,5
1539111,1539,11,5,153911,1
1539112,1539,11,12,153911,2
1539113,1539,11,19,153911,3
1539114,1539,11,26,153911,4
1539121,1539,12,3,153912,1
1539122,1539,12,10,153912,2
1539123,1539,12,17,153912,3
1539124,1539,12,24,153912,4
1539125,1539,12,31,153912,5
1540011,1540,1,7,154001,1
1540012,1540,1,14,154001,2
1540013,1540,1,21,154001,3
1540014,1540,1,28,154001,4
1540021,1540,2,4,154002,1
1540022,1540,2,11,154002,2
1540023,1540,2,18,154002,3
1540024,1540,2,25,154002,4
1540031,1540,3,3,154003,1
1540032,1540,3,10,154003,2
1540033,1540,3,17,154003,3
1540034,1540,3,24,154003,4
1540035,1540,3,31,154003,5
1540041,1540,4,7,154004,1
1540042,1540,4,14,154004,2
1540043,1540,4,21,154004,3
1540044,1540,4,28,154004,4
1540051,1540,5,5,154005,1
1540052,1540,5,12,154005,2
1540053,1540,5,19,154005,3
1540054,1540,5,26,154005,4
1540061,1540,6,2,154006,1
1540062,1540,6,9,154006,2
1540063,1540,6,16,154006,3
1540064,1540,6,23,154006,4
1540065,1540,6,30,154006,5
1540071,1540,7,7,154007,1
1540072,1540,7,14,154007,2
1540073,1540,7,21,154007,3
1540074,1540,7,28,154007,4
1540081,1540,8,4,154008,1
1540082,1540,8,11,154008,2
1540083,1540,8,18,154008,3
1540084,1540,8,25,154008,4
1540091,1540,9,1,154009,1
1540092,1540,9,8,154009,2
1540093,1540,9,15,154009,3
1540094,1540,9,22,154009,4
1540095,1540,9,29,154009,5
1540101,1540,10,6,154010,1
1540102,1540,10,13,154010,2
1540103,1540,10,20,154010,3
1540104,1540,10,27,154010,4
1540111,1540,11,3,154011,1
1540112,1540,11,10,154011,2
1540113,1540,11,17,154011,3
1540114,1540,11,24,154011,4
1540121,1540,12,1,154012,1
1540122,1540,12,8,154012,2
1540123,1540,12,15,154012,3
1540124,1540,12,22,154012,4
1540125,1540,12,29,154012,5
1541011,1541,1,5,154101,1
1541012,1541,1,12,154101,2
1541013,1541,1,19,154101,3
1541014,1541,1,26,154101,4
1541021,1541,2,2,154102,1
1541022,1541,2,9,154102,2
1541023,1541,2,16,154102,3
1541024,1541,2,23,154102,4
1541031,1541,3,2,154103,1
1541032,1541,3,9,154103,2
1541033,1541,3,16,154103,3
1541034,1541,3,23,154103,4
1541035,1541,3,30,154103,5
1541041,1541,4,6,154104,1
1541042,1541,4,13,154104,2
1541043,1541,4,20,154104,3
1541044,1541,4,27,154104,4
1541051,1541,5,4,154105,1
1541052,1541,5,11,154105,2
1541053,1541,5,18,154105,3
1541054,1541,5,25,154105,4
1541061,1541,6,1,154106,1
1541062,1541,6,8,154106,2
1541063,1541,6,15,154106,3
1541064,1541,6,22,154106,4
1541065,1541,6,29,154106,5
1541071,1541,7,6,154107,1
1541072,1541,7,13,154107,2
1541073,1541,7,20,154107,3
1541074,1541,7,27,154107,4
1541081,1541,8,3,154108,1
1541082,1541,8,10,154108,2
1541083,1541,8,17,154108,3
1541084,1541,8,24,154108,4
1541085,1541,8,31,154108,5
1541091,1541,9,7,154109,1
1541092,1541,9,14,154109,2
1541093,1541,9,21,154109,3
1541094,1541,9,28,154109,4
1541101,1541,10,5,154110,1
1541102,1541,10,12,154110,2
1541103,1541,10,19,154110,3
1541104,1541,10,26,154110,4
1541111,1541,11,2,154111,1
1541112,1541,11,9,154111,2
1541113,1541,11,16,154111,3
1541114,1541,11,23,154111,4
1541115,1541,11,30,154111,5
1541121,1541,12,7,154112,1
1541122,1541,12,14,154112,2
1541123,1541,12,21,154112,3
1541124,1541,12,28,154112,4
1542011,1542,1,4,154201,1
1542012,1542,1,11,154201,2
1542013,1542,1,18,154201,3
1542014,1542,1,25,154201,4
1542021,1542,2,1,154202,1
1542022,1542,2,8,154202,2
1542023,1542,2,15,154202,3
1542024,1542,2,22,154202,4
1542031,1542,3,1,154203,1
1542032,1542,3,8,154203,2
1542033,1542,3,15,154203,3
1542034,1542,3,22,154203,4
1542035,1542,3,29,154203,5
1542041,1542,4,5,154204,1
1542042,1542,4,12,154204,2
1542043,1542,4,19,154204,3
1542044,1542,4,26,154204,4
1542051,1542,5,3,154205,1
1542052,1542,5,10,154205,2
1542053,1542,5,17,154205,3
1542054,1542,5,24,154205,4
1542055,1542,5,31,154205,5
1542061,1542,6,7,154206,1
1542062,1542,6,14,154206,2
1542063,1542,6,21,154206,3
1542064,1542,6,28,154206,4
1542071,1542,7,5,154207,1
1542072,1542,7,12,154207,2
1542073,1542,7,19,154207,3
1542074,1542,7,26,154207,4
1542081,1542,8,2,154208,1
1542082,1542,8,9,154208,2
1542083,1542,8,16,154208,3
1542084,1542,8,23,154208,4
1542085,1542,8,30,154208,5
1542091,1542,9,6,154209,1
1542092,1542,9,13,154209,2
1542093,1542,9,20,154209,3
1542094,1542,9,27,154209,4
1542101,1542,10,4,154210,1
1542102,1542,10,11,154210,2
1542103,1542,10,18,154210,3
1542104,1542,10,25,154210,4
1542111,1542,11,1,154211,1
1542112,1542,11,8,154211,2
1542113,1542,11,15,154211,3
1542114,1542,11,22,154211,4
1542115,1542,11,29,154211,5
1542121,1542,12,6,154212,1
1542122,1542,12,13,154212,2
1542123,1542,12,20,154212,3
1542124,1542,12,27,154212,4
1543011,1543,1,3,154301,1
1543012,1543,1,10,154301,2
1543013,1543,1,17,154301,3
1543014,1543,1,24,154301,4
1543015,1543,1,31,154301,5
1543021,1543,2,7,154302,1
1543022,1543,2,14,154302,2
1543023,1543,2,21,154302,3
1543024,1543,2,28,154302,4
1543031,1543,3,7,154303,1
1543032,1543,3,14,154303,2
1543033,1543,3,21,154303,3
1543034,1543,3,28,154303,4
1543041,1543,4,4,154304,1
1543042,1543,4,11,154304,2
1543043,1543,4,18,154304,3
1543044,1543,4,25,154304,4
1543051,1543,5,2,154305,1
1543052,1543,5,9,154305,2
1543053,1543,5,16,154305,3
1543054,1543,5,23,154305,4
1543055,1543,5,30,154305,5
1543061,1543,6,6,154306,1
1543062,1543,6,13,154306,2
1543063,1543,6,20,154306,3
1543064,1543,6,27,154306,4
1543071,1543,7,4,154307,1
1543072,1543,7,11,154307,2
1543073,1543,7,18,154307,3
1543074,1543,7,25,154307,4
1543081,1543,8,1,154308,1
1543082,1543,8,8,154308,2
1543083,1543,8,15,154308,3
1543084,1543,8,22,154308,4
1543085,1543,8,29,154308,5
1543091,1543,9,5,154309,1
1543092,1543,9,12,154309,2
1543093,1543,9,19,154309,3
1543094,1543,9,26,154309,4
1543101,1543,10,3,154310,1
1543102,1543,10,10,154310,2
1543103,1543,10,17,154310,3
1543104,1543,10,24,154310,4
1543105,1543,10,31,154310,5
1543111,1543,11,7,154311,1
1543112,1543,11,14,154311,2
1543113,1543,11,21,154311,3
1543114,1543,11,28,154311,4
1543121,1543,12,5,154312,1
1543122,1543,12,12,154312,2
1543123,1543,12,19,154312,3
1543124,1543,12,26,154312,4
1544011,1544,1,2,154401,1
1544012,1544,1,9,154401,2
1544013,1544,1,16,154401,3
1544014,1544,1,23,154401,4
1544015,1544,1,30,154401,5
1544021,1544,2,6,154402,1
